,entropy
890,5.811470702442004
891,5.328755830349393
892,6.570743229914243
893,6.3492936320564315
894,7.2333153427729115
895,5.681539192563535
896,6.3801387035794095
897,6.087344473549905
898,6.307840224665125
899,6.410146684436159
900,7.251976059253023
901,4.586350604012065
902,0.3826208560182447
903,5.732833484446358
904,5.132468047518919
905,5.4942658866754535
906,7.064747063140549
907,7.217239021245586
908,4.934721396370857
909,6.769102067830644
910,6.414817692809391
911,7.429604856270165
912,5.855485621220995
913,7.2417161448912895
914,0.3826208560182447
915,4.892705530722412
916,7.11182062996249
917,7.063918604836688
918,7.732191755940819
919,6.607881761365678
920,6.594998233087587
921,3.517299971830405
922,6.438942198164796
923,6.6985111629228005
924,5.1432657503159875
925,4.253742196961794
926,6.046685162335652
927,6.065839295255849
928,0.3826208560182447
929,4.095922782718681
930,5.1985086659634225
931,7.372056576251034
932,
933,1.302985987486199
934,5.948223895850916
935,6.143152508749968
936,5.737030704757904
937,6.129887881277251
938,7.619140894948136
939,6.288432185601964
940,6.582937798686039
941,3.4285071518228496
942,5.905323479119297
943,6.01261697903162
944,6.425453258156638
945,5.614043421925369
946,5.395512644644282
947,5.446150964344367
948,6.621380461676954
949,6.251158482551554
950,7.0434116454614975
951,6.4533430293687255
952,4.272054986098639
953,6.846742743619838
954,6.85377516492846
955,7.063918604836688
956,7.148341597878628
957,6.810004459578595
958,7.123797158956012
959,6.719826714186887
960,0.3826208560182447
961,7.144041191208145
962,7.55888198594839
963,7.23142732378284
964,7.044481849503454
965,5.080654278887918
966,6.325835198142254
967,5.839057466458065
968,6.526135628077847
969,7.270260394852954
970,3.6203672657791146
971,6.466637260231404
972,7.298101781744123
973,4.324099948175345
974,7.117313610867616
975,6.046058170703453
976,6.903265091643107
977,3.7787189858355825
978,7.491936844202964
979,5.625604091806611
980,4.400341091509267
981,6.341533864801776
982,6.418514881439819
