,framerates
835,14.285714285714285
836,10.0
837,20.0
838,12.5
839,25.0
840,14.285714285714285
841,11.11111111111111
842,14.957264957264957
843,7.008086253369272
844,7.142857142857142
845,20.0
846,10.0
847,19.736842105263158
848,10.0
849,5.995475113122172
850,20.0
851,12.5
852,10.0
853,12.5
854,
855,30.06993006993007
856,12.020460358056265
857,25.0
858,14.973262032085561
859,5.0
860,10.0
861,14.986376021798364
862,15.050167224080267
863,13.714285714285714
864,14.990859232175504
865,9.55056179775281
866,10.0
867,23.979591836734695
868,10.0
869,18.137254901960787
870,10.0
871,50.0
872,20.0
873,11.11111111111111
874,10.0
875,10.0
876,20.0
877,25.0
878,16.666666666666668
879,25.0
880,12.5
881,
882,6.666666666666667
883,10.0
884,4.470588235294118
885,10.0
886,25.0
887,10.0
888,25.0
889,25.0
890,8.333333333333334
891,14.285714285714285
892,23.979591836734695
893,19.75
894,14.285714285714285
895,12.5
896,10.0
897,25.0
898,25.0
899,30.088495575221238
900,25.0
901,12.5
902,10.0
903,23.076923076923077
904,10.0
905,10.0
906,14.285714285714285
907,33.333333333333336
908,25.0
909,33.333333333333336
910,24.89795918367347
911,10.0
912,25.0
913,11.11111111111111
914,25.0
915,25.0
916,25.0
917,10.0
918,14.965986394557822
919,12.679425837320574
920,10.0
921,24.731182795698924
922,14.285714285714285
923,10.0
924,14.285714285714285
925,12.5
926,8.333333333333334
927,30.013280212483398
928,20.0
929,10.0
930,20.0
931,10.0
932,8.86426592797784
933,10.0
934,20.0
935,
936,20.0
937,10.0
938,10.404624277456648
939,14.285714285714285
940,25.0
941,33.333333333333336
942,14.992272024729521
943,25.0
944,10.0
945,6.666666666666667
946,10.90909090909091
947,10.0
948,10.0
949,16.666666666666668
950,10.0
951,20.0
952,10.0
953,15.022091310751104
954,20.0
955,23.78048780487805
956,26.016260162601625
957,25.0
958,10.0
959,20.0
960,15.03006012024048
961,25.0
962,10.0
963,25.0
964,10.0
965,15.06276150627615
966,10.0
967,14.986376021798364
968,10.0
969,14.285714285714285
970,18.686868686868685
971,25.0
972,16.666666666666668
973,15.023474178403756
974,23.61111111111111
975,5.0
976,10.0
977,24.6875
978,10.0
979,20.0
980,21.98019801980198
981,10.0
982,11.11111111111111
983,25.0
984,25.0
985,14.285714285714285
986,10.0
987,20.0
988,15.057915057915057
989,23.636363636363637
990,25.0
991,14.285714285714285
992,14.978902953586498
993,11.11111111111111
994,33.333333333333336
995,20.0
996,14.285714285714285
997,15.0
998,23.979591836734695
999,25.0
1000,25.0
1001,9.700000000000001
1002,14.285714285714285
1003,14.285714285714285
1004,10.0
1005,14.285714285714285
1006,14.285714285714285
1007,25.0
1008,10.0
1009,12.5
1010,10.0
1011,10.0
1012,29.914529914529915
1013,16.666666666666668
1014,11.11111111111111
1015,20.0
1016,14.977973568281937
1017,20.0
1018,
1019,14.285714285714285
1020,25.0
1021,25.0
1022,33.333333333333336
1023,20.0
1024,10.0
1025,14.986376021798364
1026,14.942528735632184
1027,10.0
1028,15.0
1029,33.333333333333336
1030,14.957264957264957
1031,12.5
1032,10.0
1033,10.0
1034,10.0
1035,21.940928270042196
1036,24.166666666666668
1037,15.044247787610619
1038,25.0
1039,14.02116402116402
1040,16.666666666666668
1041,16.666666666666668
1042,10.0
1043,14.989733059548255
1044,12.5
1045,24.62121212121212
