,max_entropy
426,7.295957072269552
427,4.455532361090904
428,6.8197282821131875
429,7.2444779356860565
430,7.322390224428301
431,6.779900463945332
432,7.456323060852794
433,7.54662551798693
434,6.665269193267725
435,7.386882271079904
436,7.342474197848726
437,7.056430328747938
438,7.213376939318322
439,7.219808366052147
440,5.69617414386291
441,5.508208587434
442,5.477343498231902
443,4.733340549808506
444,6.20560244532249
445,7.306144817093211
446,6.793049027601917
447,7.5586614479553145
448,7.322258543314184
449,3.6022160403811663
450,7.060062766607005
451,6.171496854342677
452,4.081721456610141
453,6.5797679527573125
454,5.296283241467525
455,5.583741896697412
456,7.653874471301302
457,7.099747384193953
458,6.433388030458655
459,6.382494057843161
460,6.396295451867618
461,5.916616306559046
462,3.9954790541829275
463,6.759419414795389
464,7.192270337363395
465,6.839578104929933
466,7.7331980484726035
467,7.47904864548897
468,5.981506161928115
469,6.763969603190411
470,7.22300338341566
471,6.324501959887164
472,7.112505695575259
473,7.854794591582735
474,7.550479692487391
475,5.684485049329366
476,4.748750570604509
477,5.93487118582826
478,6.193835473156145
479,7.061200963034561
480,4.5107259797948895
481,6.003034628865931
482,6.1728318721569195
483,5.781772338929263
484,6.808840174954206
485,7.058559892372158
486,7.512497239520285
487,7.56456588826473
488,7.328380730614099
489,2.9474188953164844
490,4.388221470787552
491,7.184787862857992
492,6.260323036301219
493,5.771314681868291
494,7.405157361900216
495,5.69904078571691
496,6.726042138190266
497,5.856573453022069
498,7.557383940309435
499,7.077814010912266
500,5.261439458979167
501,7.455653130547193
502,6.0293376469735325
503,7.022968634454583
504,6.508809209597345
505,7.59758489473743
506,4.340711717765408
507,7.338736856255145
508,4.991104979383448
509,7.599579963419859
510,7.22075933809846
511,5.404425220063166
512,7.212061202100904
513,4.092079536085647
514,5.884600661865276
515,6.294279165426975
516,5.814010667146911
517,7.429676730692992
518,5.942404873710895
519,6.667140086652889
520,7.6711117489545595
521,7.21221117981125
522,6.38772016613498
523,7.168508823552949
524,7.268542466727842
525,6.307149160891436
526,6.724334607208011
527,6.704083910496656
528,7.337689077847011
529,7.130743298606886
530,6.0099676906435695
531,5.593412263472218
532,7.676289433863618
533,6.489400607206391
534,7.440309505666766
535,7.729362031910624
536,7.74364231230525
537,5.6631759156312125
538,5.9953794014974635
539,6.631582071138036
540,7.5076567782776396
541,7.675928666864451
542,6.1076509078855805
543,7.740991836241267
544,7.2626965009093665
545,7.83965722719157
546,6.917036761496349
547,6.947820804679757
548,5.637885388520001
549,7.0111822276351585
550,6.56358272568777
551,6.162825312629416
552,7.741460901988832
553,6.575447400550703
554,6.799314820246497
555,6.676437408728041
556,7.15646889417879
557,7.421767295988638
558,6.334438088155827
559,7.721030763637738
560,6.654984931868589
