,width
1789,280
1790,480
1791,678
1792,515
1793,452
1794,161
1795,498
1796,480
1797,498
1798,480
1799,480
1800,245
1801,300
1802,400
1803,500
1804,320
1805,412
1806,360
1807,436
1808,360
1809,480
1810,500
1811,274
1812,306
1813,500
1814,498
1815,220
1816,500
1817,640
1818,415
1819,240
1820,500
1821,500
1822,245
1823,480
1824,250
1825,132
1826,480
1827,426
1828,480
1829,300
1830,480
1831,480
1832,480
1833,644
1834,500
1835,400
1836,480
1837,480
1838,480
1839,480
1840,498
1841,480
1842,500
1843,400
1844,480
1845,240
1846,960
1847,500
1848,333
1849,400
1850,720
1851,480
1852,480
1853,480
1854,960
1855,160
1856,480
1857,563
1858,200
1859,320
1860,400
1861,245
1862,318
1863,600
1864,500
1865,480
1866,500
1867,480
1868,400
1869,500
1870,500
1871,387
1872,640
1873,446
1874,500
1875,400
1876,470
1877,220
1878,728
1879,220
1880,220
1881,480
1882,400
1883,400
1884,480
1885,331
1886,600
1887,637
1888,838
1889,600
1890,853
1891,480
1892,720
1893,360
1894,720
1895,346
1896,500
1897,400
1898,288
1899,700
1900,245
1901,500
1902,234
1903,720
1904,245
1905,400
1906,400
1907,400
1908,500
1909,480
1910,124
1911,480
1912,480
1913,350
1914,320
1915,415
1916,400
1917,480
1918,245
1919,480
1920,480
1921,717
1922,176
1923,320
1924,640
1925,320
1926,426
1927,500
1928,350
1929,540
1930,480
1931,400
1932,480
1933,480
1934,500
1935,720
1936,300
1937,268
1938,90
1939,245
1940,320
1941,245
1942,597
1943,500
1944,480
1945,480
1946,245
1947,350
1948,498
1949,511
1950,480
1951,480
1952,640
1953,350
1954,300
1955,600
1956,512
1957,640
1958,540
1959,320
1960,480
1961,640
1962,500
1963,244
1964,320
1965,480
1966,480
1967,476
1968,245
1969,720
1970,500
1971,498
1972,506
1973,500
1974,600
1975,352
1976,477
1977,600
1978,245
1979,300
1980,244
1981,400
1982,200
1983,350
1984,245
1985,245
1986,480
1987,480
1988,480
1989,320
1990,450
1991,296
1992,417
1993,298
1994,480
1995,429
1996,247
1997,300
1998,320
1999,480
2000,250
2001,375
2002,355
2003,160
2004,460
2005,400
2006,500
2007,500
2008,360
2009,320
2010,500
2011,320
2012,374
2013,271
2014,245
2015,320
2016,295
2017,420
2018,480
2019,500
2020,500
2021,290
2022,400
2023,818
2024,342
2025,500
2026,400
2027,480
2028,640
2029,245
2030,268
2031,640
2032,300
2033,245
2034,518
2035,356
2036,245
2037,350
2038,444
2039,360
2040,640
2041,350
2042,245
2043,480
2044,580
2045,245
2046,448
2047,500
2048,505
2049,701
2050,500
2051,161
2052,180
2053,498
2054,500
2055,244
2056,490
2057,480
2058,600
2059,245
2060,480
2061,500
2062,296
2063,250
2064,480
2065,480
2066,319
2067,400
2068,352
2069,500
2070,480
2071,500
2072,300
2073,320
2074,480
2075,500
2076,480
2077,1280
2078,400
2079,360
2080,340
2081,500
2082,500
2083,360
2084,640
2085,480
2086,500
2087,480
2088,275
2089,480
2090,444
2091,500
2092,600
2093,465
2094,320
2095,420
2096,500
2097,500
2098,260
2099,960
2100,340
2101,450
2102,480
2103,600
2104,444
2105,332
2106,640
2107,480
2108,638
2109,500
2110,220
2111,640
2112,500
2113,720
2114,363
2115,387
2116,540
2117,500
2118,480
2119,369
2120,540
2121,493
2122,720
2123,500
2124,600
2125,728
2126,960
2127,360
2128,230
2129,1200
2130,480
2131,400
2132,500
2133,300
2134,436
2135,200
2136,480
2137,450
2138,270
2139,360
2140,480
2141,498
2142,610
2143,414
2144,500
2145,480
2146,175
2147,480
2148,320
2149,420
2150,480
2151,600
2152,300
2153,360
2154,400
2155,625
2156,245
2157,500
2158,400
2159,375
2160,480
2161,480
2162,498
2163,350
2164,550
2165,500
2166,500
2167,320
2168,130
2169,320
2170,540
2171,500
2172,480
2173,257
2174,364
2175,587
2176,720
2177,348
2178,257
2179,480
2180,540
2181,473
2182,280
2183,400
2184,356
2185,480
2186,480
2187,300
2188,480
2189,356
2190,426
2191,414
2192,500
2193,255
2194,600
2195,480
2196,400
2197,516
2198,640
2199,480
2200,360
2201,405
2202,450
2203,500
2204,720
2205,500
2206,444
2207,450
2208,1080
2209,528
2210,444
2211,480
2212,240
2213,500
2214,250
2215,691
2216,540
2217,200
2218,161
2219,500
2220,160
2221,270
2222,320
2223,480
2224,480
2225,720
2226,334
2227,444
2228,480
2229,490
2230,500
2231,322
2232,500
