,frames_duration
1996,99.0
1997,115.0
1998,9.0
1999,63.0
2000,14.0
2001,56.0
2002,19.0
2003,21.0
2004,96.0
2005,17.0
2006,49.0
2007,23.0
2008,5.0
2009,31.0
2010,29.0
2011,22.0
2012,44.0
2013,72.0
2014,35.0
2015,68.0
2016,8.0
2017,39.0
2018,63.0
2019,9.0
2020,10.0
2021,45.0
2022,30.0
2023,12.0
2024,82.0
2025,24.0
2026,29.0
2027,69.0
2028,146.0
2029,66.0
2030,43.0
2031,27.0
2032,27.0
2033,37.0
2034,58.0
2035,39.0
2036,60.0
2037,48.0
2038,136.0
2039,70.0
2040,32.0
2041,40.0
2042,15.0
2043,45.0
2044,128.0
2045,58.0
2046,175.0
2047,48.0
2048,44.0
2049,31.0
2050,13.0
2051,-9.223372036854776e+18
2052,44.0
2053,19.0
2054,21.0
2055,16.0
2056,18.0
2057,83.0
2058,148.0
2059,58.0
2060,41.0
2061,19.0
2062,109.0
2063,58.0
2064,130.0
2065,24.0
2066,114.0
2067,21.0
2068,43.0
2069,20.0
2070,44.0
2071,24.0
2072,249.0
2073,27.0
2074,30.0
2075,18.0
2076,26.0
2077,58.0
2078,26.0
2079,33.0
2080,82.0
2081,30.0
2082,52.0
2083,39.0
2084,78.0
2085,40.0
2086,104.0
2087,3.0
2088,39.0
2089,29.0
2090,24.0
2091,4.0
2092,129.0
2093,11.0
2094,13.0
2095,30.0
2096,48.0
2097,27.0
2098,88.0
2099,17.0
2100,25.0
2101,40.0
2102,53.0
2103,24.0
2104,20.0
2105,30.0
2106,15.0
2107,70.0
2108,52.0
2109,20.0
2110,49.0
2111,57.0
2112,31.0
2113,90.0
2114,63.0
2115,82.0
2116,41.0
2117,75.0
2118,90.0
2119,17.0
2120,102.0
2121,10.0
2122,44.0
2123,10.0
2124,94.0
2125,150.0
2126,56.0
2127,65.0
2128,83.0
2129,69.0
